ID, class,sumvalue
0,1,0.53
1,1,1.4536718780000002
2,1,1.6908295740000001
3,1,3.4390478960000004
4,1,4.430872836000001
5,0,1.749899634
6,0,2.49300069
7,0,1.189546987
8,0,1.132402117
9,0,3.885202938
10,0,2.0811947240000004
11,0,2.62
12,1,1.21780512
13,1,1.206725091
14,0,1.053640369
15,1,3.7908598089999996
16,1,1.207598905
17,0,1.846354774
18,1,2.83943321
19,0,1.2375650930000002
20,1,2.088219593
21,1,0.56
22,0,0.81
23,1,2.617453989
24,1,2.593423909
25,0,2.6597782160000003
26,0,0.56
27,0,0.56
28,0,0.62
29,0,2.051194724
30,1,0.56
31,0,2.905646747
32,1,2.650537579
33,1,1.2440615720000001
34,1,0.94
35,1,3.793843794
36,1,0.55
37,1,1.991390081
38,1,3.102587337
39,0,2.061194724
40,1,3.290599274
41,1,0.66
42,0,2.270062114
43,1,2.702926295
44,1,0.72
45,1,1.550770141
46,0,0.82
47,1,2.98743128
48,0,2.091194724
49,0,1.169524593
50,0,3.70228207
51,1,0.63
52,1,1.951194724
53,0,0.57
54,1,1.637023689
55,0,2.0011947240000003
56,0,2.392130064
57,0,1.751956917
58,0,1.174479762
59,1,0.5
60,1,2.728405399
61,0,1.689291973
62,1,0.58
63,1,1.53734374
64,1,1.729722344
65,0,2.633423909
66,1,0.79
67,1,2.086109455
68,1,3.338238486
69,1,0.53
70,1,2.0711947239999997
71,0,2.52
72,0,0.54
73,0,5.129312761
74,0,1.196725091
75,0,3.070006386
76,0,1.442651928
77,0,2.534159894
78,1,3.217301779
79,0,4.298180412
80,0,1.019681579
81,1,2.54
82,1,1.125418842
83,1,2.44861853
84,0,0.51
85,0,3.7908773900000003
86,1,0.88
87,1,1.708661382
88,1,0.5
89,1,0.52
90,0,1.221187712
91,1,1.301187712
92,1,0.51
93,0,1.267870969
94,1,1.2236718780000002
95,1,0.64
96,1,2.65
97,0,2.63
98,1,0.71
99,1,2.692703463
100,0,2.148731114
101,0,1.3828325700000001
102,0,1.3721232279999998
103,1,1.897325897
104,0,0.51
105,0,1.971194724
106,0,3.1424021170000005
107,0,1.729899634
108,1,1.175660232
109,0,3.6526907500000005
110,1,1.112402117
111,0,1.429291973
112,1,1.092618338
113,0,0.51
114,0,2.54
115,0,0.67
116,0,0.62
117,0,3.394385627
118,1,2.73
119,1,1.390770141
120,1,1.8840023339999998
121,0,2.55
122,1,2.039650388
123,1,1.4607701409999998
124,1,0.72
125,1,0.53
126,1,2.304474045
127,1,1.629721804
128,0,1.208335483
129,1,1.955924452
130,1,0.69
131,0,1.479291973
132,1,1.374314925
133,1,0.79
134,1,3.156259265
135,1,1.7091369010000002
136,1,3.5207701410000003
137,1,2.62
138,0,1.6298996339999998
139,0,4.145166152
140,0,1.157565093
141,1,5.832056527
142,0,1.863746338
143,1,1.3010239040000002
144,0,3.126630467
145,0,2.770486697
146,1,0.53
147,0,2.59
148,1,3.3198136739999997
149,1,2.809162484
150,1,4.014760173000001
151,0,1.3807701410000002
152,1,2.5573513830000003
153,0,0.64
154,1,1.3782384859999999
155,1,3.3647974350000003
156,0,1.149049803
157,0,1.2608949710000001
158,1,2.514823054
159,0,0.6
160,0,1.693873933
161,1,0.5
162,0,1.358583492
163,0,3.245088886
164,0,0.69
165,1,1.192587337
166,1,2.5300000000000002
167,0,2.121194724
168,0,1.151187712
169,0,1.107565093
170,0,1.1062592649999998
171,0,1.6698996339999999
172,1,2.089650388
173,1,3.759607085
174,1,1.779376757
175,1,1.934227025
176,0,2.989207246
177,1,4.47052022
178,0,1.4726519279999999
179,0,2.011194724
180,1,0.57
181,1,0.57
182,0,1.6907136299999999
183,1,2.52
184,1,0.72
185,1,0.71
186,1,1.8175225130000001
187,0,3.21283257
188,1,0.56
189,0,1.167598905
190,0,0.61
191,1,1.341731571
192,1,1.8666759439999998
193,1,4.694274334999999
194,0,2.55
195,0,1.961194724
196,0,3.564419173
197,0,1.4721232279999998
198,0,2.6426029129999997
199,0,4.540617104
200,1,1.8714102970000002
201,1,1.259669469
202,0,3.7975173390000005
203,0,1.282406539
204,0,1.098335483
205,1,3.776255529
206,0,1.75840988
207,1,1.573063352
208,0,1.336295257
209,1,3.1465511819999996
210,0,1.5850511630000002
211,1,4.583299405
212,1,1.9911947239999999
213,1,2.101194724
214,0,2.556854956
215,0,2.699299229
216,1,1.019530438
217,0,1.70071363
218,1,2.141194724
219,1,1.295418842
220,0,1.342123228
221,0,0.56
222,0,3.2574932510000005
223,1,3.8995477089999997
224,0,3.106259265
225,0,2.58
226,1,3.601262009
227,1,0.65
228,1,2.8019648650000004
229,1,1.338583492
230,0,1.1595469870000001
231,0,1.379546987
232,0,1.430770141
233,1,2.051194724
234,1,1.162587337
235,1,0.53
236,1,1.150892046
237,0,1.9753747330000002
238,0,2.55
239,0,2.000760547
240,0,1.831236102
241,0,0.58
242,1,1.9564607310000002
243,1,1.755963117
244,0,3.3223153369999996
245,0,2.025740285
246,1,1.771830451
247,1,1.158603117
248,0,0.6
249,0,0.54
250,0,0.52
251,0,2.051194724
252,0,2.211834906
253,0,2.091194724
254,0,1.439546987
255,1,1.226725091
256,0,1.085361181
257,1,2.8417818080000004
258,0,2.7733093469999996
259,1,1.203671878
260,1,2.061194724
261,0,2.061194724
262,0,1.931194724
263,0,1.921194724
264,1,2.0411947240000003
265,0,0.79
266,0,3.569291973
267,0,1.46734374
268,1,1.8687192719999999
269,1,1.2774494520000002
270,0,2.62
271,0,3.2027430710000004
272,0,2.54
273,0,2.62
274,0,3.362651928
275,1,2.62
276,1,1.5524770190000001
277,1,0.59
278,0,1.176725091
279,0,0.54
280,0,2.609191607
281,1,5.003898717
282,1,1.353671878
283,0,1.766099557
284,0,1.145204586
285,0,0.66
286,0,1.509291973
287,1,0.51
288,0,1.196020965
289,1,3.006254183
290,1,4.8584053990000005
291,0,2.101194724
292,0,1.8009022239999999
293,1,1.239439141
294,0,0.58
295,1,4.234647651
296,0,3.171187712
297,1,0.75
298,0,2.59
299,1,1.4736718780000002
